ncol,nrow,population,allroads,mainroads,secroads,industries,traffic_points
29.0,2.0,345.0,0.0,1.1,0.0,0.0,0.0
30.0,2.0,1643.0,0.0,0.0,0.0,0.0,0.0
31.0,2.0,76.0,0.0,0.0,0.0,0.0,0.0
32.0,2.0,326.0,1.5,2.3,0.0,0.5,2.0
33.0,2.0,604.0,0.0,0.3,0.0,0.0,0.0
34.0,2.0,144.0,0.0,0.0,0.0,0.0,0.0
35.0,2.0,70.0,0.0,0.0,0.0,0.0,0.0
36.0,2.0,82.0,0.0,0.0,0.0,0.0,0.0
37.0,2.0,74.0,0.0,0.0,0.0,0.0,0.0
38.0,2.0,113.0,0.0,0.0,0.0,0.0,0.0
39.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0
40.0,2.0,165.0,0.0,0.0,0.0,0.0,0.0
41.0,2.0,128.0,0.0,0.0,0.0,0.0,0.0
42.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0
43.0,2.0,189.0,0.0,0.0,0.0,0.0,0.0
44.0,2.0,124.0,0.0,0.0,0.0,0.0,1.0
45.0,2.0,360.0,1.8,0.6,0.0,0.5,4.0
46.0,2.0,2966.0,2.4,1.2,0.0,1.0,27.0
47.0,2.0,2569.0,0.0,0.6,0.0,0.0,0.0
48.0,2.0,784.0,0.0,0.5,0.0,0.0,0.0
49.0,2.0,458.0,0.0,0.8,0.0,0.0,1.0
50.0,2.0,229.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,151.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,974.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,444.0,0.0,0.0,0.0,0.0,0.0
4.0,3.0,437.0,0.0,0.0,0.0,0.0,0.0
5.0,3.0,2122.0,0.0,0.0,1.1,0.0,0.0
6.0,3.0,9325.0,0.1,4.4,0.7,1.0,24.0
7.0,3.0,13039.0,1.1,1.1,0.0,2.0,74.0
8.0,3.0,10827.0,0.6,1.8,0.0,0.5,1.0
9.0,3.0,320.0,0.0,0.0,0.0,0.0,0.0
10.0,3.0,147.0,0.0,0.0,0.0,0.0,0.0
11.0,3.0,147.0,0.0,0.0,0.0,0.0,0.0
12.0,3.0,134.0,0.0,0.0,0.0,0.0,0.0
13.0,3.0,237.0,0.0,0.0,0.0,0.0,0.0
14.0,3.0,281.0,0.0,0.0,0.0,0.0,0.0
15.0,3.0,331.0,0.0,0.0,0.0,0.0,0.0
16.0,3.0,568.0,0.0,1.1,0.0,0.0,1.0
17.0,3.0,168.0,0.0,0.0,0.0,0.0,0.0
18.0,3.0,347.0,0.0,0.0,0.0,0.0,0.0
19.0,3.0,3886.0,0.0,1.6,0.0,0.0,1.0
20.0,3.0,455.0,0.0,1.0,0.0,0.0,1.0
21.0,3.0,242.0,0.0,1.3,0.0,0.5,0.0
22.0,3.0,56.0,0.0,0.8,0.0,0.0,0.0
23.0,3.0,119.0,0.0,1.1,0.0,0.5,0.0
24.0,3.0,1112.0,0.4,1.1,0.0,0.0,0.0
25.0,3.0,327.0,1.7,1.1,0.0,0.0,1.0
26.0,3.0,127.0,0.0,0.6,0.0,0.0,0.0
27.0,3.0,162.0,0.0,0.0,0.0,0.0,0.0
28.0,3.0,3311.0,0.0,0.0,0.0,0.0,0.0
29.0,3.0,668.0,0.0,1.1,0.0,0.0,0.0
30.0,3.0,583.0,1.2,0.0,0.0,0.5,0.0
